data_entrada,data_saida,tipo,entrada,saida,tamanho,pnl,capital_final,motivo_saida,score,atr_entrada
2026-04-11 18:20:00,2026-04-11 19:30:00,LONG,1.134,1.130692257588162,2951.0234695269705,-9.761225488483552,478.30004893569406,STOP_LOSS,55,0.0022051616078919635
2026-04-11 21:35:00,2026-04-11 22:30:00,LONG,1.126,1.121637822218021,2192.941566534293,-9.566000978713882,468.7340479569802,STOP_LOSS,80,0.0029081185213192134
2026-04-13 09:45:00,2026-04-13 10:00:00,LONG,1.077,1.0734623489286652,2649.973321309657,-9.374680959139605,459.3593669978406,STOP_LOSS,55,0.0023584340475565437
2026-04-13 10:45:00,2026-04-13 10:45:00,LONG,1.078,1.0728144383592977,1771.6860730851145,-9.187187339956813,450.17217965788376,STOP_LOSS,80,0.0034570410938016397
2026-04-13 11:30:00,2026-04-13 12:25:00,LONG,1.082,1.0768317091098785,1742.054343412901,-9.003443593157675,441.1687360647261,STOP_LOSS,55,0.003445527260081087
2026-04-13 18:10:00,2026-04-13 18:35:00,LONG,1.08,1.0846352128167909,3172.5888576722136,14.705624535489932,455.87436060021605,TAKE_PROFIT,55,0.0018540851267164057
2026-04-13 21:05:00,2026-04-13 21:25:00,LONG,1.132,1.1249843448779493,1299.591706460533,-9.11748721200432,446.7568733882117,STOP_LOSS,60,0.004677103414700358
2026-04-13 22:05:00,2026-04-14 04:10:00,LONG,1.127,1.1202021304902328,1314.402616132326,-8.935137467764234,437.8217359204475,STOP_LOSS,95,0.004531913006511465
2026-04-14 05:30:00,2026-04-14 05:30:00,LONG,1.121,1.1181574720228382,3080.5095987664176,-8.75643471840895,429.06530120203854,STOP_LOSS,80,0.0018950186514410956
2026-04-14 06:50:00,2026-04-14 07:05:00,LONG,1.127,1.1241150311050343,2974.4882307102985,-8.58130602404077,420.48399517799777,STOP_LOSS,75,0.0019233125966437977
2026-04-14 10:40:00,2026-04-14 11:25:00,LONG,1.116,1.122558503493993,2137.0931928964333,14.016133172599927,434.5001283505977,TAKE_PROFIT,40,0.0026234013975971844
2026-04-14 12:35:00,2026-04-14 12:35:00,LONG,1.126,1.119769725260756,1394.802465495519,-8.690002567011955,425.81012578358576,STOP_LOSS,70,0.004153516492829386
2026-04-15 00:30:00,2026-04-15 00:30:00,LONG,1.112,1.109108259807839,2945.009561632598,-8.516202515671715,417.29392326791407,STOP_LOSS,95,0.0019278267947740577
